12-18 00:00:13 com_github_bouni_kicad-jlcpcb-tools.store 210:Part R46 does not exist in the database and will be created from the board.
12-18 00:00:15 com_github_bouni_kicad-jlcpcb-tools.store 246:Part D9 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:00:15 com_github_bouni_kicad-jlcpcb-tools.store 246:Part D8 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:00:15 com_github_bouni_kicad-jlcpcb-tools.store 246:Part D7 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:00:15 com_github_bouni_kicad-jlcpcb-tools.store 246:Part D6 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:00:15 com_github_bouni_kicad-jlcpcb-tools.store 246:Part D5 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:00:15 com_github_bouni_kicad-jlcpcb-tools.store 246:Part D4 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:00:15 com_github_bouni_kicad-jlcpcb-tools.store 246:Part D3 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:00:15 com_github_bouni_kicad-jlcpcb-tools.store 246:Part D2 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:00:15 com_github_bouni_kicad-jlcpcb-tools.store 246:Part D1 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:10 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R46 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:10 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R45 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:10 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R44 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:11 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R43 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:11 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R42 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:11 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R41 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:11 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R40 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:11 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R39 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:11 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R38 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:11 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R37 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
12-18 00:04:11 com_github_bouni_kicad-jlcpcb-tools.store 246:Part R36 is already in the database but value, footprint, bom or pos values changed in the board file, part will be updated, lcsc overwritten/cleared.
